address,category,city,country,employees,founded,fundation_year,investors,link,market_cap,name,ownership,revenue,satus,stage,telephone,total_raised,type,unnamed,valuation,full_address,latitude,longitude
,Defence & Aerospace,New Delhi Delhi India,,,,1895 (128 yrs old),,,,Indian Army,Public,,,,,,,,,New Delhi Delhi India,28.64308585,77.21926705734865
,IT Services & Consulting,Mumbai Maharashtra India,,,,1996 (27 yrs old),,,,L&T Infotech,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Building Material,Mumbai Maharashtra India,,,,1983 (40 yrs old),,,,UltraTech Cement,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,NBFC,Pune Maharashtra India,,,,1987 (36 yrs old),,,,Bajaj Finance,Private,,,,,,,,,Pune Maharashtra India,18.64486265,73.92241565390222
,Financial Services,Gurugram India,,,,2012 (11 yrs old),,,,Home Credit Finance,Private,,,,,,,,,Gurugram India,28.4646148,77.0299194
,Consulting,,,,,1987 (36 yrs old),,,,KPMG,Partnership,,,,,,,,,,,
,BPO,Noida India,,,,2010 (13 yrs old),,,,Paytm,Public,,,,,,,,,Noida India,28.5706333,77.3272147
,IT Services & Consulting,Bangalore/Bengaluru Karnataka India,,,,1999 (24 yrs old),,,,Mindtree,Public,,,,,,,,,Bangalore/Bengaluru Karnataka India,12.98815675,77.62260003796
,FMCG,Mumbai Maharashtra India,,,,1933 (90 yrs old),,,,Hindustan Unilever,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,FMCG,Kolkata West Bengal India,,,,1975 (48 yrs old),,,,ITC,Public,,,,,,,,,Kolkata West Bengal India,22.5726459,88.3638953
,Banking,Bangalore/Bengaluru Karnataka India,,,,2017 (6 yrs old),,,,Ujjivan Small Finance Bank,Public,,,,,,,,,Bangalore/Bengaluru Karnataka India,12.98815675,77.62260003796
,Financial Services,Mumbai Maharashtra India,,,,1995 (28 yrs old),,,,IIFL,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Banking,Kolkata West Bengal India,,,,2001 (22 yrs old),,,,Bandhan Bank,Public,,,,,,,,,Kolkata West Bengal India,22.5726459,88.3638953
,Consumer Electronics & Appliances,Dongguan Guangdong China,,,,2004 (19 yrs old),,,,OPPO,Public,,,,,,,,,Dongguan Guangdong China,23.0205969,113.7457788
,Investment Banking / Venture Capital / Private Equity,New York New York United States USA,,,,2000 (23 yrs old),,,,JP Morgan Chase,Private,,,,,,,,,New York New York United States USA,41.4499432,-74.02842191730669
,IT Services & Consulting,San Francisco California United States USA,,,,1852 (171 yrs old),,,,Wells Fargo India,Public,,,,,,,,,San Francisco California United States USA,,
,Pharma,Ahmedabad India India,,,,1952 (71 yrs old),,,,Zydus Cadila,Public,,,,,,,,,Ahmedabad India India,23.039799,72.5687134
,Logistics,DelhiNCT India,,,,2011 (12 yrs old),,,,Delhivery,Private,,,,,,,,,DelhiNCT India,,
,NBFC,Mumbai Maharashtra India,,,,1979 (44 yrs old),,,,Shriram Transport Finance,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
