,company_name,city,country
9354,1.0,1.0,1
9386,1.0,1.0,1
9744,1.0,1.0,1
9767,1.0,1.0,1
9847,1.0,1.0,1
9877,1.0,1.0,1
9882,1.0,1.0,1
9979,1.0,1.0,1
9987,1.0,1.0,1
10095,1.0,1.0,1
10100,1.0,1.0,1
10104,1.0,1.0,1
10126,1.0,1.0,1
10174,1.0,1.0,1
10176,1.0,1.0,1
10192,1.0,1.0,1
10195,1.0,1.0,1
10207,1.0,1.0,1
10316,1.0,1.0,1
10345,1.0,1.0,1
10347,1.0,1.0,1
10349,1.0,1.0,1
10352,1.0,1.0,1
10359,1.0,1.0,1
10371,1.0,1.0,1
10379,1.0,1.0,1
10381,1.0,1.0,1
10383,1.0,1.0,1
10388,1.0,1.0,1
10390,1.0,1.0,1
10392,1.0,1.0,1
10400,1.0,1.0,1
10504,1.0,1.0,1
10506,1.0,1.0,1
10508,1.0,1.0,1
10512,1.0,1.0,1
10552,1.0,1.0,1
10599,1.0,1.0,1
10602,1.0,1.0,1
10611,1.0,1.0,1
10770,1.0,1.0,1
10790,1.0,1.0,1
10792,1.0,1.0,1
10794,1.0,1.0,1
10797,1.0,1.0,1
10803,1.0,1.0,1
10852,1.0,1.0,1
10886,1.0,1.0,1
10931,1.0,1.0,1
10963,1.0,1.0,1
10997,1.0,1.0,1
10999,1.0,1.0,1
11001,1.0,1.0,1
11008,1.0,1.0,1
11146,1.0,1.0,1
11174,1.0,1.0,1
11186,1.0,1.0,1
11210,1.0,1.0,1
11276,1.0,1.0,1
11315,1.0,1.0,1
11324,1.0,1.0,1
11344,1.0,1.0,1
11390,1.0,1.0,1
11392,1.0,1.0,1
11432,1.0,1.0,1
11462,1.0,1.0,1
11464,1.0,1.0,1
11511,1.0,1.0,1
11519,1.0,1.0,1
11606,1.0,1.0,1
11616,1.0,1.0,1
11654,1.0,1.0,1
11664,1.0,1.0,1
11681,1.0,1.0,1
11683,1.0,1.0,1
11685,1.0,1.0,1
11687,1.0,1.0,1
11773,1.0,1.0,1
11838,1.0,1.0,1
11843,1.0,1.0,1
11870,1.0,1.0,1
11895,1.0,1.0,1
11897,1.0,1.0,1
11909,1.0,1.0,1
11931,1.0,1.0,1
11954,1.0,1.0,1
12049,1.0,1.0,1
12101,1.0,1.0,1
12103,1.0,1.0,1
12144,1.0,1.0,1
12149,1.0,1.0,1
12219,1.0,1.0,1
12269,1.0,1.0,1
12502,1.0,1.0,1
12561,1.0,1.0,1
12707,1.0,1.0,1
12746,1.0,1.0,1
12774,1.0,1.0,1
12784,1.0,1.0,1
12786,1.0,1.0,1
12788,1.0,1.0,1
12790,1.0,1.0,1
12867,1.0,1.0,1
13008,1.0,1.0,1
13015,1.0,1.0,1
13017,1.0,1.0,1
13019,1.0,1.0,1
13049,1.0,1.0,1
13086,1.0,1.0,1
13165,1.0,1.0,1
13172,1.0,1.0,1
13191,1.0,1.0,1
13203,1.0,1.0,1
13278,1.0,1.0,1
13315,1.0,1.0,1
