company_id,company_name,trade_name,industry,sector,categories,company_status,company_type,headquarters,address,postal_code,city,country,state,continent,foundation_year,registration_date,website,rank,market_cap_or_valuation,number_of_employees,ceo,founder,assets,profit_or_net_income,revenue,total_funding_raised,share_price,change_1_day,change_1_year,debts,phone,sic_code,emtak_code,nace_code,facebook,twitter,pinterest,instagram,investors,region,notes_or_description,normalized_name,modified,normalized_country,city_translate
75bc224bcaef448ea4261119a219a839 | 025e9feebe01420da1667e42575d139d,mercury general,,,,"['Insurance'] | ['Financial Services', 'Insurance']",,,,,,,united states, | california, | northern america,0,,https://www.mercuryinsurance.com | ,"4,708 | 3815", | $1.92 b," | 4,300",,," | 6,772 million usd",247 million usd | ," | 3,993 million usd",, | $34.82, | 1.34%, | -33.15%," | 4,632 million usd",,,,,,,,,,,,mercury general,True,united states,
3388 | 733,meridian hotel operations,,,,,,,,5 old bailey,ec4m 7ba,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/meridian-hotel-operations-limited.gbd3m8isn.html,,,,,,,,,,,,,,,,,,,,,,,,single address,meridian hotel operations,False,united kingdom,london
0ed8e66253814d4e89c5afe57e4a3547 | 7839694daa7841e98e2b66ac74bc7008,meridianlink,,,,"['Software', 'Tech', 'Financial services'] | software and it",,,,,,,united states, | california, | northern america,0,, | https://www.meridianlink.com/,"4325 | 7,561", | $1.33 b, | 544,,," | 1,025 million usd", | -30 million usd, | 267 million usd,, | $16.50, | 2.68%, | -1.55%, | 469 million usd,,,,,,,,,,,,meridianlink,True,united states,
f97cab8dcc49447186dafbd9d7547cf0 | 1bec08d90ea0426f9c47b33ea14b44ee,merit medical,,,," | ['Healthcare', 'Medical Equipment', 'HealthCare Products']",,,,,,,united states, | utah, | northern america,0,, | https://www.merit.com/,"2749 | 4,481", | $3.99 b,"6,446 | ",,," | 1,648 million usd", | 48 million usd," | 1,074 million usd",, | $70.23, | 1.08%, | 26.09%, | 608 million usd,,,,,,,,,,,,merit medical,True,united states,
e551259401e648058de3c209435a8ddd | f6b9c5b5231e4427925fabdb6357cccf,meritage homes,,,,"['Real Estate', 'Construction Materials', 'Capital Goods', 'Construction'] | ['Construction', 'Real estate']",,,,,,,united states, | arizona, | northern america,0,, | https://www.meritagehomes.com,"2872 | 3,917", | $3.66 b," | 1,773",,," | 4,807 million usd", | 737 million usd," | 5,141 million usd",, | $100.18, | 2.38%, | 0.67%," | 1,763 million usd",,,,,,,,,,,,meritage homes,True,united states,
 | b72d06d8de12460cb5a038f31ee39148,meritz financial,,,," | ['Financial Services', 'Asset Management']",,,,,,,"korea, republic of",, | eastern asia,0,, | http://www.meritzgroup.com/eng/," | 3,137", | $3.77 b, | 20,,,"$68.62 b | 66,765 million usd",$668.5 m | 642 million usd,"11,163 million usd | $10.97 b",,,,," | 63,737 million usd",,,,,,,,,,,,meritz financial,True,"korea, republic of",
 | b1866df58c454233adb4f8927eb4be53,meritz securities,,,," | ['Financial Services', 'Stock Markets, Trading, Capital Markets']",,,,,,,"korea, republic of",, | eastern asia,0,, | https://home.imeritz.com/main/ir_eng/index.html," | 5,251", | $3.02 b,,,,"40,473 million usd | $45.52 b",$657.3 m | 580 million usd,"$2.4 b | 1,477 million usd",,,,," | 36,483 million usd",,,,,,,,,,,,meritz securities,True,"korea, republic of",
,merkkur,,ecommerce | retail,,,,,,,,,germany,,,2014,,https://www.merkkur.de/ | https://www.merkkur.de,,,7,,,,,"7.40 | 10,931,620",,,,,,,,,,,,,,,,,merkkur,True,germany,
1318 | 4109,merrill lynch europe,,,,,,,,20 giltspur street,ec1a 9dd,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/merrill-lynch-europe-limited.gbd4spm3o.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,merrill lynch europe,False,united kingdom,london
1324 | 4115,merrill lynch international,,,,,,,,2 king edward street,ec1a 1hq,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/merrill-lynch-international.gbd89yn00.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,merrill lynch international,False,united kingdom,london
